,date,Senegal
0,2020-01-23,0
1,2020-01-24,0
2,2020-01-25,0
3,2020-01-26,0
4,2020-01-27,0
5,2020-01-28,0
6,2020-01-29,0
7,2020-01-30,0
8,2020-01-31,0
9,2020-02-01,0
10,2020-02-02,0
11,2020-02-03,0
12,2020-02-04,0
13,2020-02-05,0
14,2020-02-06,0
15,2020-02-07,0
16,2020-02-08,0
17,2020-02-09,0
18,2020-02-10,0
19,2020-02-11,0
20,2020-02-12,0
21,2020-02-13,0
22,2020-02-14,0
23,2020-02-15,0
24,2020-02-16,0
25,2020-02-17,0
26,2020-02-18,0
27,2020-02-19,0
28,2020-02-20,0
29,2020-02-21,0
30,2020-02-22,0
31,2020-02-23,0
32,2020-02-24,0
33,2020-02-25,0
34,2020-02-26,0
35,2020-02-27,0
36,2020-02-28,1
37,2020-02-29,1
38,2020-03-01,1
39,2020-03-02,1
40,2020-03-03,2
41,2020-03-04,4
42,2020-03-05,4
43,2020-03-06,4
44,2020-03-07,4
45,2020-03-08,4
46,2020-03-09,4
47,2020-03-10,4
48,2020-03-11,5
49,2020-03-12,10
50,2020-03-13,21
51,2020-03-14,24
52,2020-03-15,26
53,2020-03-16,27
54,2020-03-17,31
55,2020-03-18,36
56,2020-03-19,38
57,2020-03-20,47
58,2020-03-21,56
59,2020-03-22,67
60,2020-03-23,79
61,2020-03-24,86
62,2020-03-25,99
