date;Senegal;c_jour;C_imp;c_cont;c_com
28/02/2020;1;1;1;0;0
29/02/2020;1;0;1;0;0
01/03/2020;1;0;1;0;0
02/03/2020;1;0;1;0;0
03/03/2020;2;0;2;0;0
04/03/2020;4;2;4;0;0
05/03/2020;4;0;4;0;0
06/03/2020;4;0;4;0;0
07/03/2020;4;0;4;0;0
08/03/2020;4;0;4;0;0
09/03/2020;4;0;4;0;0
10/03/2020;4;0;4;0;0
11/03/2020;5;1;5;0;0
12/03/2020;10;5;5;5;0
13/03/2020;21;11;5;16;0
14/03/2020;24;3;7;17;0
15/03/2020;26;2;8;18;0
16/03/2020;27;1;9;18;0
17/03/2020;31;4;12;19;0
18/03/2020;36;5;15;21;0
19/03/2020;38;2;17;21;0
20/03/2020;47;9;21;26;0
21/03/2020;56;9;26;27;3
22/03/2020;67;11;32;32;3
23/03/2020;79;12;38;34;7
24/03/2020;86;7;41;38;7
25/03/2020;99;13;46;46;7
26/03/2020;105;6;51;47;7
27/03/2020;119;14;62;49;8
28/03/2020;130;11;64;57;9
29/03/2020;142;12;68;55;9
30/03/2020;162;20;73;69;1
31/03/2020;175;13;1;12;0
