,date,cases_Afghanistan ,cases_Albania ,cases_Algeria ,cases_Andorra ,cases_Argentina ,cases_Armenia ,cases_Australia ,cases_Austria ,cases_Azerbaijan ,cases_Bahrain ,cases_Bangladesh ,cases_Belarus ,cases_Belgium ,cases_Bhutan ,cases_Bolivia ,cases_Bosnia and Herzegovina ,cases_Brazil ,cases_Brunei ,cases_Bulgaria ,cases_Burkina Faso ,cases_Cambodia ,cases_Cameroon ,cases_Canada ,cases_Chile ,cases_China ,cases_Colombia ,cases_Congo (Kinshasa) ,cases_Costa Rica ,cases_Cote d'Ivoire ,cases_Croatia ,cases_Cuba ,cases_Cyprus ,cases_Czechia ,cases_Denmark ,cases_Dominican Republic ,cases_Ecuador ,cases_Egypt ,cases_Estonia ,cases_Finland ,cases_France ,cases_French Guiana ,cases_Georgia ,cases_Germany ,cases_Greece ,cases_Guyana ,cases_Honduras ,cases_Hungary ,cases_Iceland ,cases_India ,cases_Indonesia ,cases_Iran ,cases_Iraq ,cases_Ireland ,cases_Israel ,cases_Italy ,cases_Jamaica ,cases_Japan ,cases_Jordan ,"cases_Korea, South ",cases_Kuwait ,cases_Latvia ,cases_Lebanon ,cases_Liechtenstein ,cases_Lithuania ,cases_Luxembourg ,cases_Malaysia ,cases_Maldives ,cases_Malta ,cases_Martinique ,cases_Mexico ,cases_Moldova ,cases_Monaco ,cases_Mongolia ,cases_Morocco ,cases_Nepal ,cases_Netherlands ,cases_New Zealand ,cases_Nigeria ,cases_North Macedonia ,cases_Norway ,cases_Oman ,cases_Pakistan ,cases_Panama ,cases_Paraguay ,cases_Peru ,cases_Philippines ,cases_Poland ,cases_Portugal ,cases_Qatar ,cases_Reunion ,cases_Romania ,cases_Russia ,cases_San Marino ,cases_Saudi Arabia ,cases_Senegal ,cases_Serbia ,cases_Singapore ,cases_Slovakia ,cases_Slovenia ,cases_South Africa ,cases_Spain ,cases_Sri Lanka ,cases_Sweden ,cases_Switzerland ,cases_Taiwan* ,cases_Thailand ,cases_Togo ,cases_Tunisia ,cases_Turkey ,cases_US ,cases_Ukraine ,cases_United Arab Emirates ,cases_United Kingdom ,cases_Vietnam 
0,2020-01-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0
1,2020-01-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3,0,0,0,1,0,0,0,2
2,2020-01-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,5,0,0,0,2,0,0,0,2
3,2020-01-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,7,0,0,0,2,0,0,0,2
4,2020-01-26,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,8,0,0,0,5,0,0,0,2
5,2020-01-27,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,5,8,0,0,0,5,0,0,0,2
6,2020-01-28,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,5509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,1,0,0,8,14,0,0,0,5,0,0,0,2
7,2020-01-29,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,6087,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,4,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,1,0,0,8,14,0,0,0,5,0,4,0,2
8,2020-01-30,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,8141,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,11,0,4,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,1,0,0,9,14,0,0,0,5,0,4,0,2
9,2020-01-31,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,9802,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,5,0,0,0,0,0,1,0,0,0,0,0,2,0,15,0,11,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,13,0,0,0,0,1,1,0,10,19,0,0,0,7,0,4,2,2
